benchmark,run,result
quadratic,baseline,785
quadratic,dom,785
primes-between,baseline,574100
primes-between,dom,574100
birthday,baseline,484
birthday,dom,484
orders,baseline,5352
orders,dom,5352
sum-check,baseline,5018
sum-check,dom,5018
palindrome,baseline,298
palindrome,dom,298
totient,baseline,253
totient,dom,253
relative-primes,baseline,1923
relative-primes,dom,1923
hanoi,baseline,99
hanoi,dom,99
is-decreasing,baseline,127
is-decreasing,dom,127
check-primes,baseline,8468
check-primes,dom,8468
sum-sq-diff,baseline,3038
sum-sq-diff,dom,3038
fitsinside,baseline,10
fitsinside,dom,10
fact,baseline,229
fact,dom,229
loopfact,baseline,116
loopfact,dom,116
recfact,baseline,104
recfact,dom,104
factors,baseline,72
factors,dom,72
perfect,baseline,232
perfect,dom,232
bitshift,baseline,167
bitshift,dom,167
digital-root,baseline,247
digital-root,dom,247
up-arrow,baseline,252
up-arrow,dom,252
sum-divisors,baseline,159
sum-divisors,dom,159
ackermann,baseline,1464231
ackermann,dom,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,dom,61518
dot-product,baseline,88
dot-product,dom,88
euclid,baseline,563
euclid,dom,563
binary-fmt,baseline,100
binary-fmt,dom,100
lcm,baseline,2326
lcm,dom,2326
gcd,baseline,46
gcd,dom,46
catalan,baseline,659378
catalan,dom,659378
armstrong,baseline,133
armstrong,dom,133
pascals-row,baseline,146
pascals-row,dom,146
collatz,baseline,169
collatz,dom,169
sum-bits,baseline,73
sum-bits,dom,73
rectangles-area-difference,baseline,14
rectangles-area-difference,dom,14
mod_inv,baseline,558
mod_inv,dom,558
reverse,baseline,46
reverse,dom,46
fizz-buzz,baseline,3652
fizz-buzz,dom,3652
bitwise-ops,baseline,1690
bitwise-ops,dom,1690
cholesky,baseline,3761
cholesky,dom,3761
mat-inv,baseline,1044
mat-inv,dom,1044
dead-branch,baseline,1196
dead-branch,dom,1196
function_call,baseline,timeout
function_call,dom,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,dom,142
conjugate-gradient,baseline,1999
conjugate-gradient,dom,1999
leibniz,baseline,timeout
leibniz,dom,timeout
n_root,baseline,733
n_root,dom,733
newton,baseline,217
newton,dom,217
euler,baseline,1908
euler,dom,1908
riemann,baseline,298
riemann,dom,298
mandelbrot,baseline,2720947
mandelbrot,dom,2720947
norm,baseline,505
norm,dom,505
cordic,baseline,517
cordic,dom,517
pow,baseline,36
pow,dom,36
sqrt,baseline,322
sqrt,dom,322
quickselect,baseline,279
quickselect,dom,279
sieve,baseline,3482
sieve,dom,3482
bubblesort,baseline,253
bubblesort,dom,253
primitive-root,baseline,11029
primitive-root,dom,11029
adler32,baseline,6851
adler32,dom,6851
adj2csr,baseline,56629
adj2csr,dom,56629
csrmv,baseline,121202
csrmv,dom,121202
major-elm,baseline,47
major-elm,dom,47
max-subarray,baseline,193
max-subarray,dom,193
mat-mul,baseline,1990407
mat-mul,dom,1990407
fib,baseline,121
fib,dom,121
vsmul,baseline,86036
vsmul,dom,86036
quicksort-hoare,baseline,27333
quicksort-hoare,dom,27333
quicksort,baseline,264
quicksort,dom,264
two-sum,baseline,98
two-sum,dom,98
eight-queens,baseline,1006454
eight-queens,dom,1006454
binary-search,baseline,78
binary-search,dom,78
