benchmark,run,result
quickselect,baseline,108
quickselect,gc,108
sieve,baseline,2
sieve,gc,2
bubblesort,baseline,1
bubblesort,gc,1
primitive-root,baseline,17
primitive-root,gc,17
adler32,baseline,1794899728
adler32,gc,1794899728
adj2csr,baseline,32
adj2csr,gc,32
csrmv,baseline,0
csrmv,gc,0
major-elm,baseline,3
major-elm,gc,3
max-subarray,baseline,100
max-subarray,gc,100
mat-mul,baseline,493
mat-mul,gc,493
fib,baseline,34
fib,gc,34
quicksort,baseline,5
quicksort,gc,5
two-sum,baseline,0
two-sum,gc,0
eight-queens,baseline,92
eight-queens,gc,92
binary-search,baseline,3
binary-search,gc,3
